Source,Target,Weight
454,640,1
1,939,1
185,258,1
55,170,1
9,453,1
9,45,1
14,190,1
400,637,1
255,275,1
176,533,1
116,533,1
151,866,1
280,484,1
243,687,1
54,866,1
364,374,1
295,441,1
101,425,1
47,241,1
116,176,1
179,202,1
63,179,1
564,577,1
265,494,1
443,637,1
209,843,1
222,843,1
205,894,1
1359,1383,1
376,638,1
1238,1260,1
487,984,1
226,353,1
1342,1518,1
122,255,1
454,640,1
1,939,1
185,258,1
1067,1324,1
70,132,1
9,453,1
9,45,1
55,779,1
279,908,1
14,190,1
176,533,1
116,533,1
279,510,1
280,484,1
243,687,1
202,545,1
101,425,1
55,170,1
47,241,1
116,176,1
564,577,1
265,494,1
443,637,1
1342,1518,1
577,634,1
209,843,1
222,843,1
1332,1401,1
55,202,1
582,605,1
205,894,1
1359,1383,1
1238,1260,1
487,984,1
54,866,1
252,374,1
122,255,1
454,640,1
1,939,1
1,55,1
185,258,1
3,884,1
70,132,1
9,453,1
9,45,1
55,779,1
14,190,1
400,637,1
176,533,1
116,533,1
151,866,1
280,484,1
243,687,1
353,884,1
339,884,1
202,545,1
101,425,1
55,170,1
47,241,1
116,176,1
691,869,1
265,494,1
72,954,1
443,637,1
279,510,1
577,634,1
55,202,1
209,843,1
222,843,1
1359,1383,1
209,222,1
376,638,1
1238,1260,1
487,984,1
54,866,1
1342,1518,1
252,374,1
122,255,1
454,640,1
1,939,1
1,55,1
185,258,1
70,132,1
9,453,1
55,779,1
14,190,1
400,443,1
400,637,1
265,494,1
151,866,1
280,484,1
54,866,1
160,226,1
116,176,1
116,533,1
295,441,1
101,425,1
55,170,1
45,453,1
47,241,1
176,533,1
72,954,1
443,637,1
117,364,1
55,202,1
209,843,1
222,843,1
205,894,1
1359,1383,1
209,222,1
339,884,1
1238,1260,1
487,984,1
346,374,1
376,638,1
252,374,1
1342,1518,1
111,124,1
454,640,1
1,939,1
185,258,1
70,132,1
55,170,1
55,779,1
9,453,1
9,45,1
14,190,1
276,621,1
176,533,1
116,533,1
151,866,1
280,484,1
634,687,1
243,687,1
117,364,1
116,176,1
295,441,1
101,425,1
47,241,1
39,871,1
577,694,1
243,694,1
265,494,1
443,637,1
279,510,1
487,984,1
209,843,1
222,843,1
205,894,1
1359,1383,1
209,222,1
339,884,1
1238,1260,1
54,866,1
376,638,1
252,374,1
1342,1518,1
111,124,1
454,640,1
1,778,1
1,939,1
185,258,1
70,132,1
513,638,1
9,453,1
9,45,1
236,908,1
14,190,1
255,275,1
276,621,1
265,494,1
151,866,1
280,484,1
160,226,1
202,545,1
116,176,1
116,533,1
55,170,1
45,453,1
47,241,1
176,533,1
443,637,1
117,364,1
209,843,1
222,843,1
54,866,1
1359,1383,1
339,884,1
1238,1260,1
487,984,1
252,374,1
1342,1518,1
111,124,1
376,638,1
454,640,1
1,778,1
1,939,1
185,258,1
70,132,1
55,170,1
55,779,1
376,513,1
513,638,1
9,453,1
9,45,1
779,883,1
236,908,1
14,190,1
255,275,1
176,533,1
116,533,1
151,866,1
280,484,1
634,687,1
243,687,1
160,226,1
202,545,1
1594,1828,1
116,176,1
295,441,1
101,425,1
47,241,1
564,577,1
564,634,1
265,494,1
443,637,1
