Source,Target,Weight
419,465,1
869,453,1
943,1151,1
943,217,1
943,841,1
943,1998,1
882,449,1
882,1159,1
882,1377,1
498,1159,1
882,449,1
882,1159,1
882,1377,1
1669,869,1
1669,453,1
137,1159,1
1800,1159,1
1037,430,1
1037,1159,1
1037,1377,1
882,1377,1
882,1952,1
882,1306,1
882,1159,1
882,246,1
869,155,1
869,453,1
453,359,1
1441,1159,1
998,1669,1
137,1159,1
882,449,1
882,1159,1
882,1377,1
1037,430,1
1037,1159,1
1037,1377,1
1339,453,1
1385,453,1
835,453,1
869,453,1
869,993,1
928,453,1
1625,1625,1
1159,179,1
453,895,1
453,869,1
1550,1768,1
1550,329,1
1550,203,1
1550,1987,1
702,453,1
1669,634,1
1037,80,1
1037,1444,1
1037,1195,1
1037,1306,1
1037,1377,1
1037,1159,1
1037,1981,1
1037,80,1
1037,1195,1
1037,1981,1
1037,1377,1
1037,1159,1
1037,1444,1
453,869,1
1159,702,1
1159,1987,1
1441,1159,1
453,869,1
1159,702,1
869,1669,1
869,453,1
882,1377,1
882,1773,1
882,1306,1
882,1159,1
882,547,1
1874,31,1
841,1151,1
805,1159,1
1159,1852,1
359,453,1
1384,1159,1
453,1192,1
1587,1587,1
1192,453,1
223,1159,1
453,895,1
713,1479,1
713,819,1
713,1780,1
713,142,1
713,1906,1
713,279,1
713,892,1
713,293,1
882,449,1
882,1159,1
882,1377,1
1277,453,1
1287,453,1
1770,31,1
1669,1825,1
1669,1881,1
1159,713,1
713,205,1
713,195,1
713,453,1
1328,713,1
1328,453,1
453,1076,1
498,1159,1
999,1258,1
1625,1625,1
1037,1377,1
1037,1773,1
1037,1159,1
1037,449,1
1159,1669,1
1813,453,1
359,453,1
453,56,1
1246,1159,1
869,155,1
869,453,1
869,1669,1
869,453,1
1800,1159,1
895,453,1
902,1159,1
902,895,1
1122,453,1
1625,1625,1
453,895,1
1328,713,1
1328,453,1
129,1159,1
691,1830,1
841,1151,1
1669,453,1
1287,453,1
634,1669,1
1192,453,1
1192,1881,1
1550,1768,1
1550,476,1
1550,329,1
1550,203,1
1550,1987,1
1157,1159,1
453,895,1
137,1159,1
459,1159,1
453,1484,1
1625,1625,1
1287,453,1
1159,1748,1
424,869,1
424,569,1
424,453,1
1618,80,1
1618,1159,1
869,155,1
869,453,1
1037,80,1
1037,1444,1
1037,1195,1
1037,1306,1
1037,1377,1
1037,1159,1
1037,1981,1
987,1159,1
453,1880,1
869,453,1
1120,453,1
1037,1952,1
1037,245,1
1037,998,1
1037,728,1
1037,80,1
1037,1550,1
1037,1058,1
1037,246,1
1037,991,1
1037,1159,1
1037,1393,1
1443,453,1
1625,1625,1
2027,1955,1
1037,430,1
1037,1159,1
1037,1377,1
223,1159,1
453,1669,1
359,453,1
137,1159,1
1207,1277,1
1159,1813,1
841,1587,1
841,841,1
841,1110,1
702,453,1
263,1159,1
453,2027,1
453,895,1
1669,453,1
453,2027,1
1246,1159,1
1942,1151,1
1669,56,1
1350,1669,1
1159,329,1
1625,1625,1
1159,1277,1
1682,453,1
841,1151,1
841,943,1
841,217,1
1328,1587,1
1328,897,1
1328,1070,1
1328,358,1
1328,572,1
1328,245,1
1328,1158,1
1328,453,1
1328,410,1
223,1159,1
476,1768,1
476,1987,1
476,329,1
476,203,1
476,1550,1
397,453,1
1192,453,1
1669,1825,1
1159,702,1
129,1159,1
1159,1277,1
1852,453,1
869,453,1
1720,1159,1
1037,1694,1
1037,1159,1
1037,1377,1
2027,1426,1
2027,1955,1
1874,1874,1
1625,1625,1
453,179,1
895,453,1
895,1956,1
498,1159,1
895,453,1
453,1277,1
2027,453,1
453,1520,1
453,1918,1
1157,1159,1
1550,453,1
691,453,1
1037,80,1
1037,1444,1
1037,1195,1
1037,1306,1
1037,1377,1
1037,1159,1
1037,1981,1
1159,1541,1
1618,2027,1
1618,1159,1
1587,31,1
453,1586,1
1159,1880,1
1037,1876,1
1037,1952,1
1037,1159,1
1037,1377,1
87,1159,1
453,702,1
453,1813,1
1586,1277,1
228,1159,1
869,453,1
367,1159,1
453,713,1
1975,1274,1
359,453,1
1037,80,1
1037,1195,1
1037,1981,1
1037,1377,1
1037,1159,1
1037,1444,1
1192,453,1
1625,1625,1
329,453,1
1957,453,1
1159,1381,1
279,713,1
1192,1120,1
1192,453,1
1881,1669,1
1881,453,1
2027,56,1
1800,1159,1
1987,798,1
453,1918,1
453,691,1
1120,453,1
882,1594,1
882,1906,1
882,1306,1
882,1159,1
882,1377,1
1587,453,1
1369,1369,1
222,1727,1
938,453,1
1246,1159,1
1159,155,1
453,56,1
1550,630,1
1800,1159,1
569,453,1
453,1587,1
1159,1748,1
498,1159,1
137,1159,1
279,453,1
1758,1159,1
453,1813,1
1550,1768,1
1550,1987,1
1550,329,1
1550,1748,1
713,1479,1
713,819,1
713,1780,1
713,142,1
713,1906,1
713,279,1
713,892,1
713,293,1
1369,1369,1
1037,1195,1
1037,1444,1
1037,80,1
1037,1159,1
1037,1377,1
87,1159,1
882,1906,1
882,1306,1
882,1377,1
882,1594,1
882,1159,1
882,246,1
453,713,1
453,869,1
453,1669,1
1625,1625,1
869,453,1
1964,1159,1
1,1982,1
805,1159,1
895,453,1
1159,278,1
87,1159,1
1618,155,1
1618,1159,1
1998,943,1
1998,1522,1
1998,841,1
1159,1337,1
1942,1151,1
1942,943,1
1942,1522,1
453,1277,1
453,630,1
453,713,1
1813,453,1
1451,1159,1
1625,1625,1
1277,453,1
1758,1159,1
1323,1841,1
1618,1159,1
137,1159,1
1957,453,1
1287,453,1
1159,869,1
1758,1159,1
998,1159,1
1159,1277,1
5,1159,1
179,453,1
1942,1151,1
1942,943,1
1942,217,1
1942,1998,1
1669,453,1
453,691,1
1625,1625,1
1277,1748,1
1037,80,1
1037,1444,1
1037,1195,1
1037,1306,1
1037,1377,1
1037,1159,1
1037,1981,1
453,329,1
1287,453,1
1831,1813,1
1541,453,1
1625,1625,1
737,737,1
1625,1625,1
223,1159,1
1669,56,1
1339,453,1
1159,359,1
1258,1258,1
987,1159,1
1,453,1
1159,359,1
1257,1159,1
453,1520,1
1618,2027,1
1618,1159,1
453,895,1
1586,453,1
882,1906,1
882,1306,1
882,1377,1
882,1594,1
882,1159,1
882,246,1
882,449,1
882,1159,1
882,1377,1
1942,1151,1
1942,943,1
1942,1522,1
1942,1942,1
1328,1587,1
1328,897,1
1328,1070,1
1328,358,1
1328,572,1
1328,245,1
1328,1158,1
1328,453,1
1328,410,1
1287,453,1
1287,453,1
1287,453,1
137,1159,1
453,1669,1
1277,476,1
1277,1550,1
1277,1748,1
1277,329,1
1277,1987,1
1277,1768,1
453,702,1
1037,80,1
1037,1444,1
1037,1195,1
1037,1306,1
1037,1377,1
1037,1159,1
1037,1981,1
1277,453,1
1159,1076,1
987,1159,1
1618,1159,1
223,1159,1
412,1770,1
412,1278,1
228,1159,1
691,453,1
1768,453,1
453,869,1
137,1159,1
1037,1876,1
1037,1952,1
1037,1159,1
1037,1377,1
453,869,1
1625,1625,1
1159,702,1
453,1813,1
453,359,1
702,453,1
511,511,1
453,1586,1
1328,1587,1
1328,897,1
1328,1070,1
1328,358,1
1328,572,1
1328,245,1
1328,1158,1
1328,453,1
1328,410,1
993,453,1
137,1159,1
713,453,1
228,1159,1
1159,895,1
359,453,1
453,630,1
1159,2027,1
498,1159,1
2027,453,1
1328,1587,1
1328,897,1
1328,1070,1
1328,358,1
1328,572,1
1328,245,1
1328,1158,1
1328,453,1
1328,410,1
87,1159,1
1159,359,1
841,1151,1
841,25,1
1669,453,1
1669,1550,1
1998,1151,1
1998,217,1
1998,1942,1
1082,453,1
1082,1669,1
1082,1813,1
1159,279,1
1690,453,1
1159,329,1
1159,2027,1
1510,1669,1
1510,453,1
1510,691,1
453,1813,1
223,1159,1
5,1159,1
453,1076,1
1159,991,1
1159,1956,1
1625,1625,1
1159,895,1
137,1159,1
1881,1669,1
841,1151,1
137,1159,1
1669,869,1
1669,713,1
1037,80,1
1037,1444,1
1037,1195,1
1037,1306,1
1037,1377,1
1037,1159,1
1037,1981,1
1159,1277,1
630,702,1
223,1159,1
1037,80,1
1037,1444,1
1037,1195,1
1037,1306,1
1037,1377,1
1037,1159,1
1037,1981,1
329,453,1
702,993,1
1813,453,1
453,56,1
1159,155,1
1339,453,1
585,1465,1
1277,85,1
1,453,1
453,359,1
764,1159,1
453,1277,1
1120,1358,1
1120,798,1
351,453,1
217,1151,1
217,1942,1
1625,1625,1
5,1159,1
453,895,1
1277,453,1
179,453,1
1618,1159,1
1618,547,1
1037,80,1
1037,1444,1
1037,1195,1
1037,1306,1
1037,1377,1
1037,1159,1
1037,1981,1
498,1159,1
1674,257,1
1674,1179,1
1674,203,1
1674,410,1
1674,794,1
1674,329,1
1674,24,1
1674,1987,1
1674,419,1
1674,412,1
1674,1586,1
1674,306,1
1674,1792,1
1674,1587,1
1674,852,1
1674,465,1
1674,1768,1
1674,1874,1
1674,817,1
155,453,1
1159,1748,1
1625,1625,1
1520,453,1
359,799,1
359,453,1
1287,453,1
453,583,1
5,1159,1
869,453,1
1669,56,1
634,1669,1
453,1669,1
453,1813,1
453,713,1
1491,1159,1
1328,1587,1
1328,897,1
1328,1070,1
1328,358,1
1328,572,1
1328,245,1
1328,1158,1
1328,453,1
1328,410,1
223,1159,1
129,1159,1
444,1159,1
1277,874,1
1277,1024,1
1277,665,1
1277,37,1
1277,1621,1
453,691,1
1159,835,1
453,178,1
1669,453,1
1159,1675,1
97,453,1
97,1277,1
1037,80,1
1037,1444,1
1037,1195,1
1037,1306,1
1037,1377,1
1037,1159,1
1037,1981,1
1522,1151,1
1522,841,1
363,1159,1
764,1159,1
1037,1981,1
1037,1594,1
1037,1159,1
1037,1377,1
1159,902,1
882,449,1
882,1159,1
882,1377,1
453,1287,1
228,1159,1
1625,1625,1
841,1151,1
1404,1159,1
1669,1956,1
1862,453,1
1037,1694,1
1037,1159,1
1037,1377,1
1369,1369,1
1037,80,1
1037,1444,1
1037,1195,1
1037,1306,1
1037,1377,1
1037,1159,1
1037,1981,1
1813,453,1
1625,1625,1
453,56,1
137,1159,1
583,453,1
569,869,1
569,424,1
569,453,1
453,702,1
1896,1277,1
1874,31,1
1874,1144,1
1758,1159,1
1287,453,1
1618,1769,1
1618,1159,1
1792,1770,1
453,1792,1
1625,1625,1
969,453,1
